,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
28,Samuel Pérez,es ESP,GK,Valladolid,22,1997,1.0,0.0,26.0,1.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.9,0.0,-0.1,-0.22,2.0,7.0,28.6,2.0,0.0,100.0,56.5,5.0,100.0,69.2,1.0,0.0,0.0,0.0,0.0,0.0
29,Manolo Reina,es ESP,GK,Mallorca,34,1985,36.0,36.0,3240.0,60.0,1.67,164.0,117.0,0.713,9.0,5.0,22.0,5.0,13.9,14.0,13.0,1.0,0.0,36.0,2.0,7.0,1.0,58.7,0.28,-0.3,-0.01,255.0,689.0,37.0,886.0,180.0,56.4,43.4,308.0,61.4,50.4,362.0,36.0,9.9,24.0,0.67,13.8
30,Álex Remiro,es ESP,GK,Real Sociedad,24,1995,25.0,25.0,2250.0,32.0,1.28,87.0,62.0,0.713,11.0,4.0,10.0,6.0,24.0,8.0,7.0,1.0,0.0,25.0,2.0,3.0,0.0,28.2,0.25,-3.8,-0.15,171.0,388.0,44.1,767.0,80.0,37.4,36.3,143.0,70.6,54.2,189.0,11.0,5.8,22.0,0.88,17.4
31,Roberto,es ESP,GK,Alavés,33,1986,9.0,8.0,790.0,19.0,2.16,51.0,35.0,0.686,2.0,1.0,5.0,2.0,25.0,3.0,3.0,0.0,0.0,8.8,0.0,1.0,0.0,20.9,0.37,1.9,0.22,87.0,201.0,43.3,169.0,9.0,81.1,58.2,69.0,92.8,67.9,75.0,4.0,5.3,6.0,0.68,16.9
32,Joel Robles,es ESP,GK,Betis,29,1990,33.0,33.0,2887.0,48.0,1.5,118.0,80.0,0.686,9.0,11.0,13.0,5.0,15.2,11.0,11.0,0.0,0.0,32.1,1.0,3.0,1.0,44.8,0.31,-2.2,-0.07,171.0,464.0,36.9,907.0,134.0,39.4,36.6,245.0,43.7,39.6,296.0,21.0,7.1,27.0,0.84,15.5
33,Rubén,es ESP,GK,Osasuna,35,1984,19.0,18.0,1583.0,24.0,1.36,51.0,29.0,0.588,5.0,9.0,4.0,5.0,27.8,3.0,3.0,0.0,0.0,17.6,1.0,1.0,0.0,19.4,0.34,-4.6,-0.26,150.0,404.0,37.1,382.0,60.0,73.6,52.7,143.0,86.0,61.9,167.0,12.0,7.2,7.0,0.4,13.8
34,Rui Silva,pt POR,GK,Granada,25,1994,35.0,35.0,3150.0,42.0,1.2,136.0,97.0,0.721,15.0,8.0,12.0,12.0,34.3,5.0,4.0,1.0,0.0,35.0,1.0,5.0,0.0,42.3,0.28,0.3,0.01,348.0,898.0,38.8,978.0,115.0,66.6,49.2,301.0,82.1,60.4,332.0,38.0,11.4,41.0,1.17,15.9
35,Unai Simón,es ESP,GK,Athletic Club,22,1997,34.0,34.0,2991.0,29.0,0.87,103.0,78.0,0.767,13.0,9.0,12.0,12.0,35.3,7.0,5.0,0.0,2.0,33.2,1.0,3.0,2.0,36.8,0.32,9.8,0.29,319.0,761.0,41.9,839.0,140.0,61.7,47.2,268.0,90.7,66.4,343.0,23.0,6.7,18.0,0.54,14.3
36,Antonio Sivera,es ESP,GK,Alavés,22,1996,3.0,3.0,270.0,3.0,1.0,4.0,2.0,0.5,1.0,1.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.4,0.36,-0.6,-0.19,24.0,64.0,37.5,56.0,9.0,71.4,52.4,27.0,88.9,63.4,27.0,1.0,3.7,0.0,0.0,12.8
37,David Soria,es ESP,GK,Getafe,26,1993,38.0,38.0,3420.0,37.0,0.97,102.0,70.0,0.686,14.0,12.0,12.0,15.0,39.5,6.0,5.0,1.0,0.0,38.0,0.0,2.0,1.0,37.8,0.33,1.8,0.05,369.0,987.0,37.4,871.0,41.0,86.3,58.8,259.0,90.7,61.4,262.0,30.0,11.5,49.0,1.29,17.0
38,Juan Soriano,es ESP,GK,Leganés,21,1997,11.0,11.0,990.0,18.0,1.64,34.0,22.0,0.618,1.0,3.0,7.0,1.0,9.1,5.0,5.0,0.0,0.0,11.0,1.0,0.0,1.0,15.6,0.33,-1.4,-0.13,49.0,175.0,28.0,222.0,59.0,52.3,45.8,75.0,78.7,63.1,70.0,7.0,10.0,7.0,0.64,18.3
39,Marc-André ter Stegen,de GER,GK,Barcelona,27,1992,36.0,36.0,3240.0,36.0,1.0,110.0,78.0,0.727,24.0,6.0,6.0,14.0,38.9,7.0,6.0,1.0,0.0,36.0,2.0,1.0,0.0,34.9,0.27,-1.1,-0.03,205.0,338.0,60.7,1200.0,177.0,22.8,28.8,219.0,29.7,31.0,266.0,13.0,4.9,27.0,0.75,15.1
40,Tomáš Vaclík,cz CZE,GK,Sevilla,30,1989,33.0,33.0,2925.0,31.0,0.95,96.0,68.0,0.698,15.0,12.0,6.0,14.0,42.4,3.0,2.0,1.0,0.0,32.5,3.0,3.0,1.0,25.3,0.24,-4.7,-0.14,178.0,416.0,42.8,686.0,155.0,40.1,37.3,234.0,60.3,48.1,259.0,20.0,7.7,16.0,0.49,14.0
41,Koke Vegas,es ESP,GK,Levante,23,1995,2.0,2.0,180.0,2.0,1.0,10.0,8.0,0.8,2.0,0.0,0.0,1.0,50.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.7,0.17,-0.3,-0.13,7.0,26.0,26.9,43.0,16.0,46.5,40.6,20.0,30.0,30.6,30.0,2.0,6.7,2.0,1.0,15.6
42,Iván Villar,es ESP,GK,Celta Vigo,22,1997,4.0,3.0,280.0,5.0,1.61,11.0,6.0,0.545,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,4.6,0.42,-0.4,-0.12,15.0,43.0,34.9,61.0,6.0,39.3,35.5,28.0,67.9,55.3,34.0,3.0,8.8,3.0,0.96,16.0
43,Yoel,es ESP,GK,Eibar,30,1988,4.0,4.0,270.0,5.0,1.67,14.0,9.0,0.643,2.0,0.0,1.0,1.0,25.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.8,0.21,-1.2,-0.39,38.0,80.0,47.5,69.0,6.0,82.6,59.1,24.0,95.8,72.4,29.0,1.0,3.4,3.0,1.0,13.3
